fecha,sesion,numeroVotacion,voto
"11/1/2012","4","1","Sí"
"11/1/2012","4","3","Sí"
"11/1/2012","4","4","No"
"11/1/2012","4","5","No"
"11/1/2012","4","6","No"
"11/1/2012","4","7","No"
"11/1/2012","4","8","Sí"
"7/2/2012","5","1","Sí"
"7/2/2012","5","2","No"
"7/2/2012","5","3","Sí"
"7/2/2012","5","4","No"
"9/2/2012","7","1","Sí"
"9/2/2012","7","2","No"
"14/2/2012","8","1","No"
"14/2/2012","8","2","Sí"
"14/2/2012","8","3","No"
"14/2/2012","8","4","No"
"16/2/2012","10","1","Sí"
"16/2/2012","10","2","No"
"21/2/2012","11","1","No"
"21/2/2012","11","2","Sí"
"21/2/2012","11","3","No"
"21/2/2012","11","4","No"
"21/2/2012","11","5","Sí"
"23/2/2012","13","1","No"
"23/2/2012","13","2","No"
"23/2/2012","13","3","No"
"23/2/2012","13","4","No"
"23/2/2012","13","5","No"
"23/2/2012","13","6","No"
"23/2/2012","13","7","No"
"23/2/2012","13","8","No"
"23/2/2012","13","9","No"
"23/2/2012","13","10","No"
"23/2/2012","13","11","Sí"
"23/2/2012","13","12","Sí"
"23/2/2012","13","13","Sí"
"23/2/2012","13","14","Sí"
"23/2/2012","13","15","Sí"
"23/2/2012","13","16","Sí"
"23/2/2012","13","17","No"
"23/2/2012","13","18","No"
"23/2/2012","13","19","No"
"23/2/2012","13","20","No"
"23/2/2012","13","21","No"
"23/2/2012","13","22","No"
"23/2/2012","13","23","No"
"23/2/2012","13","24","No"
"23/2/2012","13","25","No"
"23/2/2012","13","26","No"
"23/2/2012","13","27","No"
"23/2/2012","13","28","No"
"23/2/2012","13","29","No"
"23/2/2012","13","30","Sí"
"23/2/2012","13","31","No"
"23/2/2012","13","32","No"
"23/2/2012","13","33","No"
"23/2/2012","13","34","No"
"23/2/2012","13","35","Sí"
"23/2/2012","13","36","No"
"23/2/2012","13","37","No"
"6/3/2012","14","1","No"
"6/3/2012","14","2","Sí"
"6/3/2012","14","3","Sí"
"6/3/2012","14","4","No"
"6/3/2012","14","5","No"
"6/3/2012","14","6","No"
"8/3/2012","16","1","Sí"
"8/3/2012","16","2","Sí"
"8/3/2012","16","3","Sí"
"8/3/2012","16","4","No"
"13/3/2012","17","1","Sí"
"13/3/2012","17","2","No"
"13/3/2012","17","3","No"
"13/3/2012","17","4","Sí"
"13/3/2012","17","5","No"
"15/3/2012","19","1","Sí"
"15/3/2012","19","2","Sí"
"15/3/2012","19","3","Sí"
"15/3/2012","19","4","No"
"15/3/2012","19","5","No"
"15/3/2012","19","6","No"
"15/3/2012","19","7","No"
"15/3/2012","19","8","No"
"27/3/2012","20","1","No"
"27/3/2012","20","2","No"
"27/3/2012","20","3","Sí"
"27/3/2012","20","4","No"
"27/3/2012","20","5","No"
"27/3/2012","20","6","No"
"27/3/2012","20","7","No"
"27/3/2012","20","8","No"
"29/3/2012","22","1","Sí"
"29/3/2012","22","2","Sí"
"29/3/2012","22","3","Sí"
"29/3/2012","22","4","Sí"
"29/3/2012","22","5","Sí"
"29/3/2012","22","6","Sí"
"29/3/2012","22","7","Sí"
"29/3/2012","22","8","No"
"29/3/2012","22","9","Sí"
"29/3/2012","22","10","No"
"29/3/2012","22","11","No"
"10/4/2012","23","1","No"
"10/4/2012","23","2","Sí"
"10/4/2012","23","3","No"
"10/4/2012","23","4","No"
"10/4/2012","23","5","No"
"10/4/2012","23","6","Sí"
"12/4/2012","25","1","Sí"
"12/4/2012","25","2","No"
"12/4/2012","25","3","Sí"
"12/4/2012","25","4","No"
"12/4/2012","25","5","No"
"12/4/2012","25","6","No"
"12/4/2012","25","7","No"
"12/4/2012","25","8","No"
"12/4/2012","25","9","No"
"12/4/2012","25","10","No"
"12/4/2012","26","1","No"
"12/4/2012","26","2","No"
"12/4/2012","26","3","No"
"12/4/2012","26","4","No"
"12/4/2012","26","5","Sí"
"12/4/2012","26","6","Sí"
"12/4/2012","26","7","No"
"12/4/2012","26","8","No"
"12/4/2012","26","9","No"
"12/4/2012","26","10","No"
"12/4/2012","26","11","No"
"12/4/2012","26","12","No"
"12/4/2012","26","13","No"
"12/4/2012","26","14","No"
"12/4/2012","26","15","No"
"12/4/2012","26","16","No"
"12/4/2012","26","17","No"
"12/4/2012","26","18","Sí"
"12/4/2012","26","19","No"
"12/4/2012","26","20","No"
"12/4/2012","26","21","No"
"12/4/2012","26","22","Sí"
"12/4/2012","26","23","Sí"
"12/4/2012","26","24","No"
"12/4/2012","26","25","No"
"12/4/2012","26","26","No"
"12/4/2012","26","27","No"
"12/4/2012","26","28","No"
"12/4/2012","26","29","No"
"12/4/2012","26","30","Sí"
"12/4/2012","26","31","Sí"
"12/4/2012","26","32","Sí"
"12/4/2012","26","33","No"
"12/4/2012","26","34","Sí"
"12/4/2012","26","35","Sí"
"25/4/2012","28","1","No"
"25/4/2012","28","2","Sí"
"25/4/2012","28","3","No"
"25/4/2012","28","4","Sí"
"25/4/2012","28","5","No"
"25/4/2012","28","6","Sí"
"16/5/2012","29","1","No"
"16/5/2012","29","2","No"
"16/5/2012","29","3","No"
"17/5/2012","30","26","Sí"
"17/5/2012","30","27","Sí"
"17/5/2012","30","1","Sí"
"17/5/2012","30","2","Sí"
"17/5/2012","30","3","Sí"
"17/5/2012","30","4","Sí"
"17/5/2012","30","5","Sí"
"17/5/2012","30","6","No"
"17/5/2012","30","7","Sí"
"17/5/2012","30","8","Sí"
"17/5/2012","30","9","Sí"
"17/5/2012","30","10","No"
"17/5/2012","30","11","Sí"
"17/5/2012","30","12","No"
"17/5/2012","30","13","Sí"
"17/5/2012","30","14","Sí"
"17/5/2012","30","15","Sí"
"17/5/2012","30","16","Sí"
"17/5/2012","30","17","Sí"
"17/5/2012","30","18","Sí"
"17/5/2012","30","19","Sí"
"17/5/2012","30","20","Sí"
"17/5/2012","30","21","Sí"
"17/5/2012","30","22","Sí"
"17/5/2012","30","23","Sí"
"17/5/2012","30","24","Sí"
"17/5/2012","30","25","Sí"
"29/5/2012","34","1","No"
"29/5/2012","34","2","No"
"29/5/2012","34","3","Sí"
"29/5/2012","34","4","Sí"
"29/5/2012","34","5","No"
"29/5/2012","34","6","Sí"
"29/5/2012","34","7","No"
"31/5/2012","36","1","Sí"
"31/5/2012","36","2","Sí"
"31/5/2012","36","3","No"
"31/5/2012","36","4","No"
"31/5/2012","36","5","Sí"
"31/5/2012","36","6","Sí"
"31/5/2012","36","7","Sí"
"31/5/2012","36","8","Sí"
"31/5/2012","36","9","Sí"
"31/5/2012","36","10","Sí"
"31/5/2012","36","11","Sí"
"31/5/2012","36","12","Sí"
"31/5/2012","36","13","Sí"
"31/5/2012","36","14","Sí"
"31/5/2012","36","15","Sí"
"31/5/2012","36","16","Sí"
"31/5/2012","36","17","Sí"
"31/5/2012","36","18","Sí"
"31/5/2012","36","19","Sí"
"12/6/2012","37","1","No"
"12/6/2012","37","2","No"
"12/6/2012","37","3","Sí"
"12/6/2012","37","4","Sí"
"12/6/2012","37","5","No"
"12/6/2012","37","6","No"
"14/6/2012","39","1","Sí"
"14/6/2012","39","2","Sí"
"14/6/2012","39","3","Sí"
"14/6/2012","39","4","Sí"
"14/6/2012","39","5","Sí"
"14/6/2012","39","6","Sí"
"14/6/2012","39","7","Sí"
"14/6/2012","39","8","Sí"
"19/6/2012","40","1","No"
"19/6/2012","40","2","No"
"19/6/2012","40","3","Sí"
"19/6/2012","40","4","Sí"
"19/6/2012","40","5","No"
"19/6/2012","40","6","Sí"
"19/6/2012","40","7","Sí"
"19/6/2012","40","8","No"
"19/6/2012","40","9","No"
"21/6/2012","42","1","No"
"21/6/2012","42","2","No"
"21/6/2012","42","3","Sí"
"21/6/2012","42","4","No"
"21/6/2012","42","5","No"
"21/6/2012","42","6","No"
"26/6/2012","43","1","No"
"26/6/2012","43","2","No"
"26/6/2012","43","3","Sí"
"26/6/2012","43","4","No"
"26/6/2012","43","5","No"
"26/6/2012","43","6","Sí"
"26/6/2012","43","7","No"
"26/6/2012","43","8","No"
"26/6/2012","43","9","No"
"28/6/2012","45","3","No"
"28/6/2012","45","4","No"
"28/6/2012","45","5","No"
"28/6/2012","45","6","No"
"28/6/2012","45","7","No"
"28/6/2012","45","8","No"
"28/6/2012","45","9","No"
"28/6/2012","45","10","Sí"
"28/6/2012","45","11","Sí"
"28/6/2012","45","12","Sí"
"28/6/2012","45","13","Sí"
"28/6/2012","45","14","Sí"
"28/6/2012","45","15","Sí"
"28/6/2012","45","16","Sí"
"28/6/2012","45","17","Sí"
"28/6/2012","45","18","Sí"
"28/6/2012","45","19","Sí"
"28/6/2012","45","20","Sí"
"28/6/2012","45","21","Sí"
"28/6/2012","45","22","Sí"
"28/6/2012","45","23","Sí"
"28/6/2012","45","24","No"
"28/6/2012","45","25","Sí"
"28/6/2012","45","26","Sí"
"28/6/2012","45","27","Sí"
"28/6/2012","45","28","Sí"
"28/6/2012","45","29","Sí"
"28/6/2012","45","30","Sí"
"28/6/2012","45","31","Sí"
"28/6/2012","45","32","Sí"
"28/6/2012","45","33","Sí"
"28/6/2012","45","34","Sí"
"28/6/2012","45","35","Sí"
"28/6/2012","45","36","Sí"
"28/6/2012","45","37","Sí"
"28/6/2012","45","38","Sí"
"28/6/2012","45","39","Sí"
"28/6/2012","45","40","No"
"28/6/2012","45","41","Sí"
"28/6/2012","45","42","Sí"
"28/6/2012","45","43","Abstención"
"28/6/2012","45","44","Abstención"
"28/6/2012","45","45","Sí"
"28/6/2012","45","46","Sí"
"28/6/2012","45","47","Sí"
"28/6/2012","45","1","Sí"
"28/6/2012","45","2","No"
"17/7/2012","47","1","Sí"
"17/7/2012","47","2","Sí"
"19/7/2012","49","1","No"
"19/7/2012","49","2","No"
"19/7/2012","49","3","Sí"
"19/7/2012","49","4","Sí"
"19/7/2012","49","5","Sí"
"19/7/2012","49","6","No"
"19/7/2012","49","7","Sí"
"19/7/2012","49","8","Sí"
"19/7/2012","49","9","Sí"
"19/7/2012","49","10","Sí"
"19/7/2012","49","11","No"
"19/7/2012","49","12","No"
"19/7/2012","49","13","No"
"19/7/2012","49","14","No"
"19/7/2012","49","15","Sí"
"19/7/2012","49","16","No"
"19/7/2012","49","17","Sí"
"19/7/2012","49","18","No"
"24/7/2012","50","1","Sí"
"24/7/2012","50","2","Sí"
"24/7/2012","50","3","No"
"24/7/2012","50","4","Sí"
"24/7/2012","50","5","Sí"
"11/9/2012","51","2","No"
"11/9/2012","51","3","No"
"11/9/2012","51","4","Sí"
"11/9/2012","51","5","No"
"11/9/2012","51","6","No"
"11/9/2012","51","7","Sí"
"11/9/2012","51","8","No"
"13/9/2012","53","1","Sí"
"13/9/2012","53","2","Sí"
"13/9/2012","53","3","Sí"
"13/9/2012","53","4","No"
"13/9/2012","53","10","No"
"13/9/2012","53","11","No"
"13/9/2012","53","12","No"
"13/9/2012","53","13","No"
"13/9/2012","53","14","No"
"13/9/2012","53","15","No"
"13/9/2012","53","16","No"
"13/9/2012","53","17","No"
"13/9/2012","53","18","No"
"13/9/2012","53","19","No"
"13/9/2012","53","20","No"
"13/9/2012","53","21","No"
"13/9/2012","53","22","No"
"13/9/2012","53","23","No"
"13/9/2012","53","24","No"
"13/9/2012","53","25","No"
"13/9/2012","53","26","No"
"13/9/2012","53","27","No"
"13/9/2012","53","28","No"
"13/9/2012","53","29","No"
"13/9/2012","53","30","No"
"13/9/2012","53","31","No"
"13/9/2012","53","32","Sí"
"18/9/2012","54","1","No"
"18/9/2012","54","2","No"
"18/9/2012","54","3","No"
"18/9/2012","54","4","No"
"18/9/2012","54","5","No"
"18/9/2012","54","6","No"
"18/9/2012","54","7","No"
"18/9/2012","54","8","No"
"20/9/2012","56","1","Sí"
"20/9/2012","56","2","Sí"
"20/9/2012","56","3","Sí"
"20/9/2012","56","4","No"
"25/9/2012","57","1","No"
"25/9/2012","57","2","No"
"25/9/2012","57","3","No"
"25/9/2012","57","4","No"
"25/9/2012","57","5","No"
"25/9/2012","57","6","No"
"25/9/2012","57","7","No"
"26/9/2012","58","2","No"
"9/10/2012","59","1","No"
"9/10/2012","59","2","No"
"9/10/2012","59","3","Sí"
"9/10/2012","59","4","Abstención"
"9/10/2012","59","5","No"
"11/10/2012","61","8","Sí"
"22/10/2012","62","1","Sí"
"22/10/2012","62","2","No"
"22/10/2012","62","3","No"
"22/10/2012","62","4","No"
"22/10/2012","62","5","No"
"24/10/2012","64","1","No"
"30/10/2012","65","1","No"
"30/10/2012","65","2","No"
"30/10/2012","65","3","No"
"30/10/2012","65","4","No"
"30/10/2012","65","5","No"
"30/10/2012","65","6","No"
"30/10/2012","65","7","No"
"30/10/2012","65","8","No"
"30/10/2012","65","9","No"
"30/10/2012","65","10","No"
"30/10/2012","65","11","Sí"
"30/10/2012","65","12","No"
"30/10/2012","65","13","No"
"30/10/2012","65","14","No"
"30/10/2012","65","15","Sí"
"30/10/2012","65","16","No"
"30/10/2012","65","17","No"
"30/10/2012","65","18","Sí"
"30/10/2012","65","19","Sí"
"13/11/2012","68","1","No"
"13/11/2012","68","2","No"
"13/11/2012","68","3","No"
"13/11/2012","68","4","No"
"13/11/2012","68","5","No"
"13/11/2012","68","6","Sí"
"13/11/2012","68","7","Sí"
"13/11/2012","68","8","Sí"
"13/11/2012","68","9","Sí"
"13/11/2012","68","10","Abstención"
"13/11/2012","68","11","No"
"13/11/2012","68","12","Sí"
"13/11/2012","68","13","No"
"13/11/2012","68","14","No"
"13/11/2012","68","15","No"
"13/11/2012","68","16","No"
"13/11/2012","68","17","No"
"13/11/2012","68","18","No"
"13/11/2012","68","19","No"
"13/11/2012","68","20","No"
"13/11/2012","68","21","Sí"
"13/11/2012","68","22","Abstención"
"13/11/2012","68","23","No"
"13/11/2012","68","24","No"
"13/11/2012","68","25","Sí"
"13/11/2012","68","26","No"
"13/11/2012","68","27","No"
"13/11/2012","68","28","No"
"13/11/2012","68","29","Sí"
"13/11/2012","68","30","Sí"
"13/11/2012","68","31","No"
"13/11/2012","68","32","No"
"13/11/2012","68","33","No"
"13/11/2012","68","34","No"
"13/11/2012","68","35","No"
"13/11/2012","68","36","No"
"13/11/2012","68","37","Sí"
"13/11/2012","68","38","Sí"
"13/11/2012","68","39","No"
"13/11/2012","68","40","No"
"13/11/2012","68","41","No"
"13/11/2012","68","42","No"
"13/11/2012","68","43","No"
"13/11/2012","68","45","Sí"
"13/11/2012","68","46","No"
"13/11/2012","68","47","No"
"13/11/2012","68","48","Sí"
"13/11/2012","68","49","No"
"13/11/2012","68","50","No"
"13/11/2012","68","51","No"
"13/11/2012","68","53","Sí"
"13/11/2012","68","54","No"
"13/11/2012","68","55","No"
"13/11/2012","68","56","Sí"
"13/11/2012","68","57","No"
"13/11/2012","68","58","No"
"13/11/2012","68","59","No"
"13/11/2012","68","60","No"
"13/11/2012","68","61","No"
"13/11/2012","68","62","No"
"13/11/2012","68","63","Sí"
"13/11/2012","68","64","No"
"13/11/2012","68","65","No"
"13/11/2012","68","66","No"
"13/11/2012","68","67","No"
"13/11/2012","68","68","No"
"13/11/2012","68","69","No"
"13/11/2012","68","70","No"
"13/11/2012","68","71","No"
"13/11/2012","68","72","No"
"13/11/2012","68","73","No"
"13/11/2012","68","74","No"
"13/11/2012","68","75","Sí"
"13/11/2012","68","76","Sí"
"13/11/2012","68","77","No"
"13/11/2012","68","78","No"
"13/11/2012","68","79","No"
"13/11/2012","68","80","No"
"13/11/2012","68","81","No"
"13/11/2012","68","82","No"
"13/11/2012","68","83","No"
"13/11/2012","68","84","No"
"13/11/2012","68","85","No"
"13/11/2012","68","86","No"
"13/11/2012","68","87","No"
"13/11/2012","68","88","Sí"
"13/11/2012","68","89","No"
"13/11/2012","68","90","No"
"13/11/2012","68","91","No"
