fecha,sesion,numeroVotacion,voto
11/1/2012,4,1,Sí
11/1/2012,4,3,Sí
11/1/2012,4,4,No
11/1/2012,4,5,No
11/1/2012,4,6,No
11/1/2012,4,7,No
11/1/2012,4,8,Sí
7/2/2012,5,1,Sí
7/2/2012,5,2,No
7/2/2012,5,3,Sí
7/2/2012,5,4,No
9/2/2012,7,1,Sí
9/2/2012,7,2,No
14/2/2012,8,1,No
14/2/2012,8,2,Sí
14/2/2012,8,3,No
14/2/2012,8,4,No
16/2/2012,10,1,Sí
16/2/2012,10,2,No
21/2/2012,11,1,No
21/2/2012,11,2,Sí
21/2/2012,11,3,No
21/2/2012,11,4,No
21/2/2012,11,5,Sí
23/2/2012,13,1,No
23/2/2012,13,2,No
23/2/2012,13,3,No
23/2/2012,13,4,No
23/2/2012,13,5,No
23/2/2012,13,6,No
23/2/2012,13,7,No
23/2/2012,13,8,No
23/2/2012,13,9,No
23/2/2012,13,10,No
23/2/2012,13,11,Sí
23/2/2012,13,12,Sí
23/2/2012,13,13,Sí
23/2/2012,13,14,Sí
23/2/2012,13,15,Sí
23/2/2012,13,16,Sí
23/2/2012,13,17,No
23/2/2012,13,18,No
6/3/2012,14,1,No
6/3/2012,14,2,Sí
6/3/2012,14,3,Sí
6/3/2012,14,4,No
6/3/2012,14,5,No
6/3/2012,14,6,No
8/3/2012,16,1,Sí
8/3/2012,16,2,Sí
8/3/2012,16,3,Sí
8/3/2012,16,4,No
13/3/2012,17,1,Sí
13/3/2012,17,2,No
13/3/2012,17,3,No
13/3/2012,17,4,Sí
13/3/2012,17,5,No
15/3/2012,19,1,Sí
15/3/2012,19,2,Sí
15/3/2012,19,3,Sí
15/3/2012,19,4,No
15/3/2012,19,5,No
15/3/2012,19,6,No
15/3/2012,19,7,No
15/3/2012,19,8,No
27/3/2012,20,1,No
27/3/2012,20,2,No
27/3/2012,20,3,Sí
27/3/2012,20,4,No
27/3/2012,20,5,No
27/3/2012,20,6,No
27/3/2012,20,7,No
27/3/2012,20,8,No
29/3/2012,22,1,Sí
29/3/2012,22,2,Sí
29/3/2012,22,3,Sí
29/3/2012,22,4,Sí
29/3/2012,22,5,Sí
29/3/2012,22,6,Sí
29/3/2012,22,7,Sí
29/3/2012,22,8,No
29/3/2012,22,9,Sí
29/3/2012,22,10,No
29/3/2012,22,11,No
10/4/2012,23,1,No
10/4/2012,23,2,Sí
10/4/2012,23,3,No
10/4/2012,23,4,No
10/4/2012,23,5,No
10/4/2012,23,6,Sí
12/4/2012,25,1,Sí
12/4/2012,25,2,No
12/4/2012,25,3,Sí
12/4/2012,25,4,No
12/4/2012,25,5,No
12/4/2012,25,6,No
12/4/2012,25,7,No
12/4/2012,25,8,No
12/4/2012,25,9,No
12/4/2012,25,10,No
12/4/2012,26,1,No
12/4/2012,26,2,No
12/4/2012,26,3,No
12/4/2012,26,4,No
25/4/2012,28,1,No
25/4/2012,28,2,Sí
25/4/2012,28,3,No
25/4/2012,28,4,Sí
25/4/2012,28,5,No
25/4/2012,28,6,Sí
16/5/2012,29,1,No
16/5/2012,29,2,No
16/5/2012,29,3,No
17/5/2012,30,1,Sí
17/5/2012,30,2,Sí
17/5/2012,30,3,Sí
17/5/2012,30,4,Sí
17/5/2012,30,5,Sí
17/5/2012,30,6,No
17/5/2012,30,7,Sí
17/5/2012,30,8,Sí
17/5/2012,30,9,Sí
17/5/2012,30,10,No
17/5/2012,30,11,Sí
17/5/2012,30,12,No
17/5/2012,30,13,Sí
17/5/2012,30,14,Sí
17/5/2012,30,15,Sí
21/5/2012,31,1,No
21/5/2012,31,2,No
21/5/2012,31,3,No
21/5/2012,31,4,No
21/5/2012,31,5,Sí
21/5/2012,31,6,No
21/5/2012,31,7,No
21/5/2012,31,8,Sí
21/5/2012,31,9,No
21/5/2012,31,10,No
21/5/2012,31,11,No
21/5/2012,31,12,No
21/5/2012,31,13,No
21/5/2012,31,14,No
22/5/2012,32,1,No
22/5/2012,32,2,No
22/5/2012,32,3,No
22/5/2012,32,4,No
22/5/2012,32,5,No
22/5/2012,32,6,No
22/5/2012,32,7,No
22/5/2012,32,8,No
22/5/2012,32,9,No
22/5/2012,32,10,No
22/5/2012,32,11,No
22/5/2012,32,12,Sí
22/5/2012,32,13,No
22/5/2012,32,14,No
22/5/2012,32,15,No
23/5/2012,33,1,No
23/5/2012,33,2,"No vota"
23/5/2012,33,3,No
23/5/2012,33,4,No
23/5/2012,33,5,No
23/5/2012,33,6,No
23/5/2012,33,7,No
23/5/2012,33,8,Abstención
23/5/2012,33,9,No
23/5/2012,33,10,No
23/5/2012,33,11,No
23/5/2012,33,12,No
23/5/2012,33,13,No
23/5/2012,33,14,No
23/5/2012,33,15,No
29/5/2012,34,1,No
29/5/2012,34,2,No
29/5/2012,34,3,Sí
29/5/2012,34,4,Sí
29/5/2012,34,5,No
29/5/2012,34,6,Sí
29/5/2012,34,7,No
31/5/2012,36,1,Sí
31/5/2012,36,2,Sí
31/5/2012,36,3,No
31/5/2012,36,4,No
31/5/2012,36,5,Sí
31/5/2012,36,6,Sí
31/5/2012,36,7,Sí
31/5/2012,36,8,Sí
31/5/2012,36,9,Sí
31/5/2012,36,10,Sí
31/5/2012,36,11,Sí
31/5/2012,36,12,Sí
31/5/2012,36,13,Sí
31/5/2012,36,14,Sí
31/5/2012,36,15,Sí
12/6/2012,37,1,No
12/6/2012,37,2,No
12/6/2012,37,3,Sí
12/6/2012,37,4,Sí
12/6/2012,37,5,No
12/6/2012,37,6,No
14/6/2012,39,1,Sí
14/6/2012,39,2,Sí
14/6/2012,39,3,Sí
14/6/2012,39,4,Sí
14/6/2012,39,5,Sí
14/6/2012,39,6,Sí
14/6/2012,39,7,Sí
14/6/2012,39,8,Sí
19/6/2012,40,1,No
19/6/2012,40,2,No
19/6/2012,40,3,Sí
19/6/2012,40,4,Sí
19/6/2012,40,5,No
19/6/2012,40,6,Sí
19/6/2012,40,7,Sí
19/6/2012,40,8,No
19/6/2012,40,9,No
21/6/2012,42,1,No
21/6/2012,42,2,No
21/6/2012,42,3,Sí
21/6/2012,42,4,No
21/6/2012,42,5,No
21/6/2012,42,6,No
26/6/2012,43,1,No
26/6/2012,43,2,No
26/6/2012,43,3,Sí
26/6/2012,43,4,No
26/6/2012,43,5,No
26/6/2012,43,6,Sí
26/6/2012,43,7,No
26/6/2012,43,8,No
26/6/2012,43,9,No
28/6/2012,45,1,Sí
28/6/2012,45,2,No
28/6/2012,45,3,No
28/6/2012,45,4,No
28/6/2012,45,5,No
28/6/2012,45,6,No
28/6/2012,45,7,No
28/6/2012,45,8,No
28/6/2012,45,9,No
28/6/2012,45,10,Sí
28/6/2012,45,11,Sí
28/6/2012,45,12,Sí
28/6/2012,45,13,Sí
28/6/2012,45,14,Sí
17/7/2012,47,1,Sí
17/7/2012,47,2,Sí
19/7/2012,49,1,No
19/7/2012,49,2,No
19/7/2012,49,3,Sí
19/7/2012,49,4,Sí
19/7/2012,49,5,Sí
19/7/2012,49,6,No
19/7/2012,49,7,Sí
19/7/2012,49,8,Sí
19/7/2012,49,9,Sí
19/7/2012,49,10,Sí
19/7/2012,49,11,No
19/7/2012,49,12,No
19/7/2012,49,13,No
19/7/2012,49,14,No
19/7/2012,49,15,Sí
24/7/2012,50,1,Sí
24/7/2012,50,2,Sí
24/7/2012,50,3,No
24/7/2012,50,4,Sí
24/7/2012,50,5,Sí
11/9/2012,51,2,No
11/9/2012,51,3,No
11/9/2012,51,4,Sí
11/9/2012,51,5,No
11/9/2012,51,6,No
11/9/2012,51,7,Sí
11/9/2012,51,8,No
13/9/2012,53,1,Sí
13/9/2012,53,2,Sí
13/9/2012,53,3,Sí
13/9/2012,53,4,No
13/9/2012,53,10,No
13/9/2012,53,11,No
13/9/2012,53,12,No
13/9/2012,53,13,No
13/9/2012,53,14,No
13/9/2012,53,15,No
13/9/2012,53,16,No
18/9/2012,54,1,No
18/9/2012,54,2,No
18/9/2012,54,3,No
18/9/2012,54,4,No
18/9/2012,54,5,No
18/9/2012,54,6,No
18/9/2012,54,7,No
18/9/2012,54,8,No
20/9/2012,56,1,Sí
20/9/2012,56,2,Sí
20/9/2012,56,3,Sí
20/9/2012,56,4,No
25/9/2012,57,1,No
25/9/2012,57,2,No
25/9/2012,57,3,No
25/9/2012,57,4,No
25/9/2012,57,5,No
25/9/2012,57,6,No
25/9/2012,57,7,No
26/9/2012,58,2,No
9/10/2012,59,1,No
9/10/2012,59,2,No
9/10/2012,59,3,Sí
9/10/2012,59,4,No
9/10/2012,59,5,No
11/10/2012,61,8,Sí
